text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @mlaboy15: ES PREOCUPANTE LA SITUACIÓN EN EUA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #Influenza EN PR<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> TAMBIÉN ESTÁ EN CRECIMIENTO LOS CASOS<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>SABEMOS QUE EXISTEN VARIOS H1N_…,FALSE,0,,2/4/2018 11:07,FALSE,,9.60107E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",reneolympic,31,TRUE,FALSE,,
It's a bad #fluseason - So many stories of loss from #influenza . Another one:  100 flu-related deaths reported in… https://t.co/YiTKWsXFiI,FALSE,6,,2/4/2018 11:05,TRUE,,9.60107E+17,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",SepsisAlliance,4,FALSE,FALSE,,
Simit: ceppi di #virus influenzale diversi dal previsto. #Vaccino essenziale per limitare casi e mortalità… https://t.co/gxRe8tFjGg,FALSE,0,,2/4/2018 11:05,TRUE,,9.60107E+17,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Prof_Farmacia,0,FALSE,FALSE,,
"@kommunautin Meine auch, ist dieselbe. Zu #Homöopathie: finde ich gut. Zu #Influenza: Das ist die Kernaufgabe jeder… https://t.co/OF371Hn9rD",FALSE,0,kommunautin,2/4/2018 11:03,TRUE,9.60097E+17,9.60107E+17,89645136,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bas_ton,0,FALSE,FALSE,,
RT @mlaboy15: ES PREOCUPANTE LA SITUACIÓN EN EUA<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #Influenza EN PR<ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> TAMBIÉN ESTÁ EN CRECIMIENTO LOS CASOS<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>SABEMOS QUE EXISTEN VARIOS H1N_…,FALSE,0,,2/4/2018 11:00,FALSE,,9.60106E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",51_perla,31,TRUE,FALSE,,
Die #Influenza Plage reißt nicht ab. https://t.co/RM5xwoYggC,FALSE,4,,2/4/2018 10:56,FALSE,,9.60105E+17,,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",LouLouMcFly,0,FALSE,FALSE,,
RT @iessceibos: ¡Todo el mes de febrero! Con el apoyo del @Salud_Ec seguiremos protegiendo a los grupos prioritarios contra la #Influenza #…,FALSE,0,,2/4/2018 10:53,FALSE,,9.60104E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Daniloecz,17,TRUE,FALSE,,
RT @sanofipasteur: Flu epidemic rages in Japan with record-high cases in one week reported https://t.co/GJqsDtEasF #influenza,FALSE,0,,2/4/2018 10:50,FALSE,,9.60103E+17,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",jagdishprajapti,8,TRUE,FALSE,,
RT @medevidenceblog: @UofUHealth we r getting hammered with #Influenza A and #bacterial #pneumonia #superinfection Many patients are not wa…,FALSE,0,,2/4/2018 10:45,FALSE,,9.60102E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DrDaleNeedham,1,TRUE,FALSE,,
"#influenza #Flu2018 outbreak stretching public hospital resources and staff in #HongKong with at least 5,000 people… https://t.co/AE5QnKSHhU",FALSE,1,,2/4/2018 10:44,TRUE,,9.60102E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chopkickpunch,0,FALSE,FALSE,,
