text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
". @jfrketich We have a great story to tell. Let’s talk! 
DYK that In vitro studies conducted demonstrated that… https://t.co/g1DUoI2Muo",FALSE,0,,2/5/2018 5:38,TRUE,,9.60387E+17,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",coldQ1,0,FALSE,FALSE,,
@KroqChip @thekevinryder #fluseason,FALSE,0,KroqChip,2/5/2018 5:34,FALSE,9.59649E+17,9.60386E+17,78995798,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AaronMartinezSP,0,FALSE,FALSE,,
#SupergridCloudPlatform #GlobalCollaboration #publichealth #publicepidemic #healthcare #healthscience… https://t.co/nbg5t1jLco,FALSE,0,,2/5/2018 5:31,TRUE,,9.60385E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",schen8888,0,FALSE,FALSE,,
Hope the @Eagles all got their flu shots.  Anybody who put their lips on that nasty ass germ torch is gonna miss th… https://t.co/OIF8p07U2p,FALSE,0,,2/5/2018 5:24,TRUE,,9.60384E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BooMama23,0,FALSE,FALSE,,
Lots of lips and hands on that ball tho <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3> #fluseason #superbowlsunday #SuperBowl52,FALSE,0,,2/5/2018 5:10,FALSE,,9.6038E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Rated_J3,0,FALSE,FALSE,,
RT @HarvardHealth: Scientifically-proven home remedies that may be worth a try: https://t.co/cAUicESAOc #HarvardHealth #fluseason https://t…,FALSE,0,,2/5/2018 5:06,FALSE,,9.60379E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The_wellnessDr,75,TRUE,FALSE,,
I’ve taken a total of 7 baths today... <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2640><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><U+200D><U+2640><U+FE0F> #fluseason #miserable,FALSE,0,,2/5/2018 5:05,FALSE,,9.60379E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kasha_RaeLyn,0,FALSE,FALSE,,
"Pssh, #FluSeason... https://t.co/DtWQBucaOP",FALSE,0,,2/5/2018 5:04,FALSE,,9.60379E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",whateverbilly,0,FALSE,FALSE,,
"That was the topic of discussion with my fam, too. #FluSeason #watchyourmouth #ewww LOL https://t.co/KZa5SwnIna",FALSE,0,,2/5/2018 5:01,FALSE,,9.60378E+17,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wagordon,0,FALSE,FALSE,,
Public service announcement #SuperBowl52 #EaglesNation #NurseLife #fluseason https://t.co/qxG43Girhi,FALSE,0,,2/5/2018 4:57,FALSE,,9.60377E+17,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MaleahJonesRN,0,FALSE,FALSE,,
