"","lon","lat"
"177",-87.9535534,41.8397865
"178",-118.4479352,34.0614851
"179",-87.9535534,41.8397865
"180",-118.4479352,34.0614851
"181",-74.0059728,40.7127753
"182",-87.9535534,41.8397865
"183",-118.4479352,34.0614851
"184",-74.0423387,40.2629012
"185",-122.3320708,47.6062095
"186",-87.9535534,41.8397865
"187",-118.4479352,34.0614851
"188",-87.9535534,41.8397865
"189",-118.4479352,34.0614851
"190",-90.0708249,32.2913927
"191",-86.7816016,36.1626638
"192",31.03351,-17.8251657
"193",31.03351,-17.8251657
"194",-74.0059728,40.7127753
"195",-88.7878678,43.7844397
"196",-74.0059728,40.7127753
"197",-79.0558445,35.9131996
"198",-74.0059728,40.7127753
"199",-79.0558445,35.9131996
"200",-74.0059728,40.7127753
"201",-122.4194155,37.7749295
"202",-84.3879824,33.7489954
"203",-74.0059728,40.7127753
"204",-85.7584557,38.2526647
"205",-74.0059728,40.7127753
"206",-74.0059728,40.7127753
"207",-95.712891,37.09024
"208",-73.9519951,40.7908768
"209",-74.0059728,40.7127753
"210",-74.307282,40.4128551
"211",-78.6568942,37.4315734
"212",-74.2401609,40.8298006
"213",-74.0059728,40.7127753
"214",-74.0059728,40.7127753
"215",-120.5542012,43.8041334
"216",-74.0059728,40.7127753
"217",-119.4179324,36.778261
"218",12.56738,41.87194
"219",-96.6851982,40.8257625
"220",-85.6680863,42.9633599
"221",-82.6402915,27.7676008
"222",-77.0368707,38.9071923
"223",39.8579118,21.3890824
"224",-95.712891,37.09024
"225",-95.971261,36.153315
"226",-87.8289548,42.1275267
"227",-95.971261,36.153315
"228",-87.8289548,42.1275267
"229",-122.3320708,47.6062095
"230",-95.971261,36.153315
"231",-87.8289548,42.1275267
"232",-95.971261,36.153315
"233",-87.8289548,42.1275267
"234",-85.6023643,44.3148443
"235",-71.0588801,42.3600825
"236",-85.6023643,44.3148443
"237",-71.0588801,42.3600825
"238",-106.6630437,35.2327544
"239",-85.6023643,44.3148443
"240",-71.0588801,42.3600825
"241",-70.8226541,43.9653889
"242",-118.2436849,34.0522342
"243",-81.3792365,28.5383355
"244",-82.4975395,34.6156001
"245",-76.8720961,38.7849211
"246",-85.6023643,44.3148443
"247",-71.0588801,42.3600825
"248",-77.8367282,40.8765649
"249",-1.1743197,52.3555177
"250",-85.6023643,44.3148443
"251",-71.0588801,42.3600825
"252",-85.6023643,44.3148443
"253",-71.0588801,42.3600825
"254",-73.7867622,43.0829448
"255",-84.3879824,33.7489954
"256",-77.0368707,38.9071923
"257",-74.0059728,40.7127753
"258",-75.1652215,39.9525839
"259",-95.0431148,40.7234534
"260",-74.0059728,40.7127753
"261",-85.6023643,44.3148443
"262",-71.0588801,42.3600825
"263",-83.4727521,33.9397789
"264",-85.6023643,44.3148443
